asOfDate,expiration,contractSymbol,spot,strike,maturity,marketPrice,impliedVol
2026-03-27,2026-03-30,O:SPY260330C00580000,634.09,580,0.0082,54.29,0.1876
2026-03-27,2026-03-30,O:SPY260330C00590000,634.09,590,0.0082,44.29,0.1848
2026-03-27,2026-03-30,O:SPY260330C00600000,634.09,600,0.0082,34.3,0.1823
2026-03-27,2026-03-30,O:SPY260330C00610000,634.09,610,0.0082,24.33,0.18
2026-03-27,2026-03-30,O:SPY260330C00620000,634.09,620,0.0082,14.66,0.1779
2026-03-27,2026-03-30,O:SPY260330C00630000,634.09,630,0.0082,6.54,0.1761
2026-03-27,2026-03-30,O:SPY260330C00640000,634.09,640,0.0082,1.8,0.1746
2026-03-27,2026-03-30,O:SPY260330C00650000,634.09,650,0.0082,0.26,0.1733
2026-03-27,2026-03-30,O:SPY260330C00660000,634.09,660,0.0082,0.02,0.1722
2026-03-27,2026-03-30,O:SPY260330C00670000,634.09,670,0.0082,0.0,0.1714
2026-03-27,2026-03-30,O:SPY260330C00680000,634.09,680,0.0082,0.0,0.1709
2026-03-27,2026-03-30,O:SPY260330C00690000,634.09,690,0.0082,0.0,0.1705
2026-03-27,2026-03-30,O:SPY260330C00700000,634.09,700,0.0082,0.0,0.1705
2026-03-27,2026-04-02,O:SPY260402C00580000,634.09,580,0.0164,54.49,0.1858
2026-03-27,2026-04-02,O:SPY260402C00590000,634.09,590,0.0164,44.5,0.183
2026-03-27,2026-04-02,O:SPY260402C00600000,634.09,600,0.0164,34.54,0.1804
2026-03-27,2026-04-02,O:SPY260402C00610000,634.09,610,0.0164,24.75,0.1781
2026-03-27,2026-04-02,O:SPY260402C00620000,634.09,620,0.0164,15.63,0.1761
2026-03-27,2026-04-02,O:SPY260402C00630000,634.09,630,0.0164,8.17,0.1743
2026-03-27,2026-04-02,O:SPY260402C00640000,634.09,640,0.0164,3.3,0.1727
2026-03-27,2026-04-02,O:SPY260402C00650000,634.09,650,0.0164,0.97,0.1714
2026-03-27,2026-04-02,O:SPY260402C00660000,634.09,660,0.0164,0.2,0.1703
2026-03-27,2026-04-02,O:SPY260402C00670000,634.09,670,0.0164,0.03,0.1695
2026-03-27,2026-04-02,O:SPY260402C00680000,634.09,680,0.0164,0.0,0.169
2026-03-27,2026-04-02,O:SPY260402C00690000,634.09,690,0.0164,0.0,0.1687
2026-03-27,2026-04-02,O:SPY260402C00700000,634.09,700,0.0164,0.0,0.1686
2026-03-27,2026-04-09,O:SPY260409C00580000,634.09,580,0.0356,54.98,0.1827
2026-03-27,2026-04-09,O:SPY260409C00590000,634.09,590,0.0356,45.08,0.1799
2026-03-27,2026-04-09,O:SPY260409C00600000,634.09,600,0.0356,35.37,0.1774
2026-03-27,2026-04-09,O:SPY260409C00610000,634.09,610,0.0356,26.11,0.1751
2026-03-27,2026-04-09,O:SPY260409C00620000,634.09,620,0.0356,17.77,0.173
2026-03-27,2026-04-09,O:SPY260409C00630000,634.09,630,0.0356,10.9,0.1712
2026-03-27,2026-04-09,O:SPY260409C00640000,634.09,640,0.0356,5.89,0.1697
2026-03-27,2026-04-09,O:SPY260409C00650000,634.09,650,0.0356,2.75,0.1684
2026-03-27,2026-04-09,O:SPY260409C00660000,634.09,660,0.0356,1.1,0.1673
2026-03-27,2026-04-09,O:SPY260409C00670000,634.09,670,0.0356,0.37,0.1665
2026-03-27,2026-04-09,O:SPY260409C00680000,634.09,680,0.0356,0.1,0.1659
2026-03-27,2026-04-09,O:SPY260409C00690000,634.09,690,0.0356,0.03,0.1656
2026-03-27,2026-04-09,O:SPY260409C00700000,634.09,700,0.0356,0.01,0.1656
2026-03-27,2026-04-16,O:SPY260416C00580000,634.09,580,0.0548,55.56,0.1805
2026-03-27,2026-04-16,O:SPY260416C00590000,634.09,590,0.0548,45.82,0.1777
2026-03-27,2026-04-16,O:SPY260416C00600000,634.09,600,0.0548,36.39,0.1751
2026-03-27,2026-04-16,O:SPY260416C00610000,634.09,610,0.0548,27.53,0.1728
2026-03-27,2026-04-16,O:SPY260416C00620000,634.09,620,0.0548,19.6,0.1708
2026-03-27,2026-04-16,O:SPY260416C00630000,634.09,630,0.0548,12.97,0.169
2026-03-27,2026-04-16,O:SPY260416C00640000,634.09,640,0.0548,7.89,0.1674
2026-03-27,2026-04-16,O:SPY260416C00650000,634.09,650,0.0548,4.36,0.1661
2026-03-27,2026-04-16,O:SPY260416C00660000,634.09,660,0.0548,2.17,0.165
2026-03-27,2026-04-16,O:SPY260416C00670000,634.09,670,0.0548,0.97,0.1642
2026-03-27,2026-04-16,O:SPY260416C00680000,634.09,680,0.0548,0.39,0.1637
2026-03-27,2026-04-16,O:SPY260416C00690000,634.09,690,0.0548,0.14,0.1634
2026-03-27,2026-04-16,O:SPY260416C00700000,634.09,700,0.0548,0.05,0.1633
2026-03-27,2026-04-30,O:SPY260430C00580000,634.09,580,0.0932,56.92,0.1769
2026-03-27,2026-04-30,O:SPY260430C00590000,634.09,590,0.0932,47.51,0.1741
2026-03-27,2026-04-30,O:SPY260430C00600000,634.09,600,0.0932,38.52,0.1716
2026-03-27,2026-04-30,O:SPY260430C00610000,634.09,610,0.0932,30.16,0.1693
2026-03-27,2026-04-30,O:SPY260430C00620000,634.09,620,0.0932,22.66,0.1672
2026-03-27,2026-04-30,O:SPY260430C00630000,634.09,630,0.0932,16.25,0.1654
2026-03-27,2026-04-30,O:SPY260430C00640000,634.09,640,0.0932,11.05,0.1638
2026-03-27,2026-04-30,O:SPY260430C00650000,634.09,650,0.0932,7.1,0.1625
2026-03-27,2026-04-30,O:SPY260430C00660000,634.09,660,0.0932,4.3,0.1615
2026-03-27,2026-04-30,O:SPY260430C00670000,634.09,670,0.0932,2.45,0.1607
2026-03-27,2026-04-30,O:SPY260430C00680000,634.09,680,0.0932,1.31,0.1601
2026-03-27,2026-04-30,O:SPY260430C00690000,634.09,690,0.0932,0.66,0.1598
2026-03-27,2026-04-30,O:SPY260430C00700000,634.09,700,0.0932,0.32,0.1597